2017112204p数字河道Monitor_Time,Flow(m3/s),FlowVelocity(m/s),WaterLevel(m),WaterDepth(m),WaterWidth(m)
"监测时间：Lan7_1999-7-01_1999-8-01_NDWI_30m",34.8797,1.07595,3869.41,2.11861,26.3117
"监测时间：Lan7_1999-9-01_1999-10-01_NDWI_30m",22.5628,0.997520,3868.97,1.67904,21.0494
"监测时间：Lan7_2000-5-01_2000-6-01_NDWI_30m",35.3403,0.999653,3869.51,2.21773,31.5741
"监测时间：Lan7_2000-9-01_2000-10-01_NDWI_30m",0.0889223,0.189560,3867.44,0.140103,5.26235
"监测时间：Lan7_2000-10-01_2000-11-01_NDWI_30m",0.0889223,0.189560,3867.44,0.140103,5.26235
"监测时间：Lan7_2001-4-01_2001-5-01_NDWI_30m",13.3825,0.846983,3868.62,1.32735,18.4182
"监测时间：Lan7_2001-6-01_2001-7-01_NDWI_30m",6.42023,0.671999,3868.26,0.961844,15.7870
"监测时间：Lan7_2001-8-01_2001-9-01_NDWI_30m",0.0889223,0.189560,3867.44,0.140103,5.26235
"监测时间：Lan7_2001-9-01_2001-10-01_NDWI_30m",0.00530399,0.0807135,3867.33,0.0387270,2.63117
"监测时间：Lan7_2001-10-01_2001-11-01_NDWI_30m",1.36701,0.426349,3867.78,0.480449,10.5247
"监测时间：Lan7_2001-11-01_2001-12-01_NDWI_30m",3.10189,0.540015,3867.99,0.693801,13.1559
"监测时间：Lan7_2002-4-01_2002-5-01_NDWI_30m",35.3403,0.999653,3869.51,2.21773,31.5741
"监测时间：Lan7_2002-6-01_2002-7-01_NDWI_30m",39.8573,0.939930,3869.71,2.41637,39.4676
"监测时间：Lan7_2002-8-01_2002-9-01_NDWI_30m",13.3825,0.846983,3868.62,1.32735,18.4182
"监测时间：Lan7_2002-10-01_2002-11-01_NDWI_30m",0.00530399,0.0807135,3867.33,0.0387270,2.63117
"监测时间：Lan7_2003-1-01_2003-2-01_NDWI_30m",21.3920,0.732315,3869.27,1.97105,57.8858
"监测时间：Lan7_2003-4-01_2003-5-01_NDWI_30m",22.5628,0.997520,3868.97,1.67904,21.0494
"监测时间：Lan7_2003-5-01_2003-6-01_NDWI_30m",35.3403,0.999653,3869.51,2.21773,31.5741
"监测时间：Lan7_2003-7-01_2003-8-01_NDWI_30m",21.3920,0.732315,3869.27,1.97105,55.2547
"监测时间：Lan7_2003-9-01_2003-10-01_NDWI_30m",0.446474,0.306738,3867.58,0.289614,7.89352
"监测时间：Lan7_2004-3-01_2004-4-01_NDWI_30m",37.0141,1.00084,3869.56,2.26737,34.2053
"监测时间：Lan7_2004-8-01_2004-9-01_NDWI_30m",1.36701,0.426349,3867.78,0.480449,10.5247
"监测时间：Lan7_2004-9-01_2004-10-01_NDWI_30m",0.000000,0.000000,0.000000,0.000000,0.000000
"监测时间：Lan7_2004-10-01_2004-11-01_NDWI_30m",35.3403,0.999653,3869.51,2.21773,28.9429
"监测时间：Lan7_2004-11-01_2004-12-01_NDWI_30m",39.8573,0.939930,3869.71,2.41637,39.4676
"监测时间：Lan7_2005-4-01_2005-5-01_NDWI_30m",28.6707,1.07039,3869.17,1.87350,63.1482
"监测时间：Lan7_2005-6-01_2005-7-01_NDWI_30m",22.5628,0.997520,3868.97,1.67904,21.0494
"监测时间：Lan7_2005-7-01_2005-8-01_NDWI_30m",22.5628,0.997520,3868.97,1.67904,21.0494
"监测时间：Lan7_2005-8-01_2005-9-01_NDWI_30m",34.8797,1.07595,3869.41,2.11861,26.3117
"监测时间：Lan7_2005-9-01_2005-10-01_NDWI_30m",35.3403,0.999653,3869.51,2.21773,28.9429
"监测时间：Lan7_2006-4-01_2006-5-01_NDWI_30m",3.10189,0.540015,3867.99,0.693801,13.1559
"监测时间：Lan7_2006-5-01_2006-6-01_NDWI_30m",28.6707,1.07039,3869.17,1.87350,63.1482
"监测时间：Lan7_2006-6-01_2006-7-01_NDWI_30m",39.7844,0.983266,3869.66,2.36667,36.8364
"监测时间：Lan7_2006-7-01_2006-8-01_NDWI_30m",39.8573,0.939930,3869.71,2.41637,39.4676
"监测时间：Lan7_2006-8-01_2006-9-01_NDWI_30m",35.3403,0.999653,3869.51,2.21773,31.5741
"监测时间：Lan7_2006-9-01_2006-10-01_NDWI_30m",34.8797,1.07595,3869.41,2.11861,23.6806
"监测时间：Lan7_2007-2-01_2007-3-01_NDWI_30m",21.3920,0.732315,3869.27,1.97105,57.8858
"监测时间：Lan7_2007-3-01_2007-4-01_NDWI_30m",21.3920,0.732315,3869.27,1.97105,55.2547
"监测时间：Lan7_2007-4-01_2007-5-01_NDWI_30m",32.2016,0.832491,3869.61,2.31700,44.7300
"监测时间：Lan7_2007-5-01_2007-6-01_NDWI_30m",22.5628,0.997520,3868.97,1.67904,21.0494
"监测时间：Lan7_2007-6-01_2007-7-01_NDWI_30m",32.2016,0.832491,3869.61,2.31700,44.7300
"监测时间：Lan7_2007-7-01_2007-8-01_NDWI_30m",34.8797,1.07595,3869.41,2.11861,26.3117
"监测时间：Lan7_2007-8-01_2007-9-01_NDWI_30m",13.3825,0.846983,3868.62,1.32735,18.4182
"监测时间：Lan7_2007-9-01_2007-10-01_NDWI_30m",34.8797,1.07595,3869.41,2.11861,23.6806
"监测时间：Lan7_2007-10-01_2007-11-01_NDWI_30m",13.3825,0.846983,3868.62,1.32735,18.4182
"监测时间：Lan7_2007-11-01_2007-12-01_NDWI_30m",35.3403,0.999653,3869.51,2.21773,28.9429
"监测时间：Lan7_2007-12-01_2008-1-01_NDWI_30m",21.3920,0.732315,3869.27,1.97105,60.5170
"监测时间：Lan7_2008-3-01_2008-4-01_NDWI_30m",35.3403,0.999653,3869.51,2.21773,28.9429
"监测时间：Lan7_2008-6-01_2008-7-01_NDWI_30m",34.7866,1.11515,3869.36,2.06918,47.3611
"监测时间：Lan7_2008-7-01_2008-8-01_NDWI_30m",39.8573,0.939930,3869.71,2.41637,42.0988
"监测时间：Lan7_2008-10-01_2008-11-01_NDWI_30m",39.8573,0.939930,3869.71,2.41637,39.4676
"监测时间：Lan7_2008-12-01_2009-1-01_NDWI_30m",28.6707,1.07039,3869.17,1.87350,63.1482
"监测时间：Lan7_2009-1-01_2009-2-01_NDWI_30m",0.000000,0.000000,0.000000,0.000000,0.000000
"监测时间：Lan7_2009-3-01_2009-4-01_NDWI_30m",0.000000,0.000000,0.000000,0.000000,0.000000
"监测时间：Lan7_2009-5-01_2009-6-01_NDWI_30m",32.2016,0.832491,3869.61,2.31700,44.7300
"监测时间：Lan7_2009-7-01_2009-8-01_NDWI_30m",37.0141,1.00084,3869.56,2.26737,34.2053
"监测时间：Lan7_2009-8-01_2009-9-01_NDWI_30m",34.8797,1.07595,3869.41,2.11861,23.6806
"监测时间：Lan7_2009-9-01_2009-10-01_NDWI_30m",35.3403,0.999653,3869.51,2.21773,31.5741
"监测时间：Lan7_2009-10-01_2009-11-01_NDWI_30m",39.7844,0.983266,3869.66,2.36667,36.8364
"监测时间：Lan7_2010-5-01_2010-6-01_NDWI_30m",21.3920,0.732315,3869.27,1.97105,55.2547
"监测时间：Lan7_2010-6-01_2010-7-01_NDWI_30m",35.3403,0.999653,3869.51,2.21773,28.9429
"监测时间：Lan7_2010-8-01_2010-9-01_NDWI_30m",37.0141,1.00084,3869.56,2.26737,34.2053
"监测时间：Lan7_2010-10-01_2010-11-01_NDWI_30m",34.8797,1.07595,3869.41,2.11861,26.3117
"监测时间：Lan7_2010-11-01_2010-12-01_NDWI_30m",34.7866,1.11515,3869.36,2.06918,49.9923
"监测时间：Lan7_2010-12-01_2011-1-01_NDWI_30m",34.7866,1.11515,3869.36,2.06918,49.9923
"监测时间：Lan7_2011-6-01_2011-7-01_NDWI_30m",39.7844,0.983266,3869.66,2.36667,36.8364
"监测时间：Lan7_2011-8-01_2011-9-01_NDWI_30m",32.2016,0.832491,3869.61,2.31700,44.7300
"监测时间：Lan7_2011-9-01_2011-10-01_NDWI_30m",21.3920,0.732315,3869.27,1.97105,60.5170
"监测时间：Lan7_2011-10-01_2011-11-01_NDWI_30m",34.8797,1.07595,3869.41,2.11861,26.3117
"监测时间：Lan7_2011-11-01_2011-12-01_NDWI_30m",39.8573,0.939930,3869.71,2.41637,42.0988
"监测时间：Lan7_2012-4-01_2012-5-01_NDWI_30m",28.6707,1.07039,3869.17,1.87350,63.1482
"监测时间：Lan7_2012-7-01_2012-8-01_NDWI_30m",35.3403,0.999653,3869.51,2.21773,28.9429
"监测时间：Lan7_2012-8-01_2012-9-01_NDWI_30m",34.8797,1.07595,3869.41,2.11861,26.3117
"监测时间：Lan7_2012-9-01_2012-10-01_NDWI_30m",34.8797,1.07595,3869.41,2.11861,26.3117
"监测时间：Lan7_2012-10-01_2012-11-01_NDWI_30m",0.00530399,0.0807135,3867.33,0.0387270,2.63117
"监测时间：Lan7_2012-11-01_2012-12-01_NDWI_30m",34.7866,1.11515,3869.36,2.06918,49.9923
"监测时间：Lan7_2012-12-01_2013-1-01_NDWI_30m",37.0141,1.00084,3869.56,2.26737,34.2053
"监测时间：Lan7_2013-4-01_2013-5-01_NDWI_30m",34.8797,1.07595,3869.41,2.11861,23.6806
"监测时间：Lan7_2013-5-01_2013-6-01_NDWI_30m",21.3920,0.732315,3869.27,1.97105,60.5170
"监测时间：Lan7_2013-6-01_2013-7-01_NDWI_30m",3.10189,0.540015,3867.99,0.693801,13.1559
"监测时间：Lan7_2013-7-01_2013-8-01_NDWI_30m",22.5628,0.997520,3868.97,1.67904,21.0494
"监测时间：Lan7_2013-10-01_2013-11-01_NDWI_30m",3.10189,0.540015,3867.99,0.693801,13.1559
"监测时间：Lan7_2013-12-01_2014-1-01_NDWI_30m",0.000000,0.000000,0.000000,0.000000,0.000000
"监测时间：Lan7_2014-1-01_2014-2-01_NDWI_30m",0.000000,0.000000,0.000000,0.000000,0.000000
"监测时间：Lan7_2014-3-01_2014-4-01_NDWI_30m",0.000000,0.000000,0.000000,0.000000,0.000000
"监测时间：Lan7_2014-4-01_2014-5-01_NDWI_30m",32.2016,0.832491,3869.61,2.31700,44.7300
"监测时间：Lan7_2014-6-01_2014-7-01_NDWI_30m",6.42023,0.671999,3868.26,0.961844,15.7870
"监测时间：Lan7_2014-7-01_2014-8-01_NDWI_30m",37.0141,1.00084,3869.56,2.26737,34.2053
"监测时间：Lan7_2014-8-01_2014-9-01_NDWI_30m",3.10189,0.540015,3867.99,0.693801,13.1559
"监测时间：Lan7_2015-2-01_2015-3-01_NDWI_30m",0.000000,0.000000,0.000000,0.000000,0.000000
"监测时间：Lan7_2015-3-01_2015-4-01_NDWI_30m",34.8797,1.07595,3869.41,2.11861,23.6806
"监测时间：Lan7_2015-4-01_2015-5-01_NDWI_30m",39.8573,0.939930,3869.71,2.41637,42.0988
"监测时间：Lan7_2015-5-01_2015-6-01_NDWI_30m",34.8797,1.07595,3869.41,2.11861,26.3117
"监测时间：Lan7_2015-6-01_2015-7-01_NDWI_30m",27.1791,0.631984,3869.46,2.16815,84.1976
"监测时间：Lan7_2015-7-01_2015-8-01_NDWI_30m",37.0141,1.00084,3869.56,2.26737,34.2053
"监测时间：Lan7_2015-8-01_2015-9-01_NDWI_30m",39.7844,0.983266,3869.66,2.36667,36.8364
"监测时间：Lan7_2015-9-01_2015-10-01_NDWI_30m",0.00530399,0.0807135,3867.33,0.0387270,2.63117
"监测时间：Lan7_2016-4-01_2016-5-01_NDWI_30m",39.8573,0.939930,3869.71,2.41637,39.4676
"监测时间：Lan7_2016-5-01_2016-6-01_NDWI_30m",0.446474,0.306738,3867.58,0.289614,7.89352
"监测时间：Lan7_2016-6-01_2016-7-01_NDWI_30m",0.00530399,0.0807135,3867.33,0.0387270,2.63117
"监测时间：Lan7_2016-7-01_2016-8-01_NDWI_30m",3.10189,0.540015,3867.99,0.693801,13.1559
"监测时间：Lan7_2016-9-01_2016-10-01_NDWI_30m",6.42023,0.671999,3868.26,0.961844,15.7870
"监测时间：Lan7_2016-10-01_2016-11-01_NDWI_30m",6.42023,0.671999,3868.26,0.961844,15.7870
"监测时间：Lan7_2016-11-01_2016-12-01_NDWI_30m",21.3920,0.732315,3869.27,1.97105,60.5170
"监测时间：Lan7_2017-5-01_2017-6-01_NDWI_30m",22.5628,0.997520,3868.97,1.67904,21.0494
"监测时间：Lan7_2017-9-01_2017-10-01_NDWI_30m",35.3403,0.999653,3869.51,2.21773,28.9429
"监测时间：Lan7_2017-10-01_2017-11-01_NDWI_30m",32.2016,0.832491,3869.61,2.31700,44.7300
"监测时间：Lan7_2017-11-01_2017-12-01_NDWI_30m",34.7866,1.11515,3869.36,2.06918,47.3611
"监测时间：Lan7_2018-2-01_2018-3-01_NDWI_30m",34.8797,1.07595,3869.41,2.11861,26.3117
"监测时间：Lan7_2018-4-01_2018-5-01_NDWI_30m",1.36701,0.426349,3867.78,0.480449,10.5247
"监测时间：Lan7_2018-6-01_2018-7-01_NDWI_30m",13.3825,0.846983,3868.62,1.32735,18.4182
"监测时间：Lan7_2018-8-01_2018-9-01_NDWI_30m",39.7844,0.983266,3869.66,2.36667,36.8364
"监测时间：Lan7_2018-9-01_2018-10-01_NDWI_30m",39.8573,0.939930,3869.71,2.41637,42.0988
"监测时间：Lan7_2018-10-01_2018-11-01_NDWI_30m",37.0141,1.00084,3869.56,2.26737,34.2053
"监测时间：Lan7_2019-1-01_2019-2-01_NDWI_30m",22.5628,0.997520,3868.97,1.67904,21.0494
"监测时间：Lan7_2019-3-01_2019-4-01_NDWI_30m",28.6707,1.07039,3869.17,1.87350,63.1482
"监测时间：Lan7_2019-4-01_2019-5-01_NDWI_30m",21.3920,0.732315,3869.27,1.97105,57.8858
"监测时间：Lan7_2019-5-01_2019-6-01_NDWI_30m",32.2016,0.832491,3869.61,2.31700,44.7300
"监测时间：Lan7_2019-8-01_2019-9-01_NDWI_30m",32.2016,0.832491,3869.61,2.31700,44.7300
"监测时间：Lan7_2019-9-01_2019-10-01_NDWI_30m",35.3403,0.999653,3869.51,2.21773,28.9429
"监测时间：Lan7_2019-10-01_2019-11-01_NDWI_30m",39.7844,0.983266,3869.66,2.36667,36.8364
"监测时间：Lan7_2019-11-01_2019-12-01_NDWI_30m",0.000000,0.000000,0.000000,0.000000,0.000000
"监测时间：Lan7_2020-2-01_2020-3-01_NDWI_30m",0.000000,0.000000,0.000000,0.000000,0.000000
"监测时间：Lan7_2020-3-01_2020-4-01_NDWI_30m",39.8573,0.939930,3869.71,2.41637,39.4676
"监测时间：Lan7_2020-4-01_2020-5-01_NDWI_30m",39.8573,0.939930,3869.71,2.41637,39.4676
"监测时间：Lan7_2020-5-01_2020-6-01_NDWI_30m",34.8797,1.07595,3869.41,2.11861,23.6806
"监测时间：Lan7_2020-6-01_2020-7-01_NDWI_30m",19.0309,0.937047,3868.81,1.63190,71.0417
