2017112205河道断面计算Monitor_Time,Flow(m3/s),FlowVelocity(m/s),WaterLevel(m),WaterDepth(m),WaterWidth(m)
"监测时间：Lan7_1999-9-01_1999-10-01_NDWI_30m",17.2360,1.02757,3742.58,0.857006,28.9885
"监测时间：Lan7_2000-5-01_2000-6-01_NDWI_30m",17.2360,1.02757,3742.58,0.857006,28.9885
"监测时间：Lan7_2000-9-01_2000-10-01_NDWI_30m",0.789685,0.363898,3741.99,0.265431,17.8391
"监测时间：Lan7_2001-3-01_2001-4-01_NDWI_30m",0.492779,0.257526,3741.96,0.239709,42.3678
"监测时间：Lan7_2001-4-01_2001-5-01_NDWI_30m",0.492779,0.257526,3741.96,0.239709,42.3678
"监测时间：Lan7_2001-9-01_2001-10-01_NDWI_30m",0.636275,0.353727,3741.97,0.243660,15.6092
"监测时间：Lan7_2001-10-01_2001-11-01_NDWI_30m",0.789685,0.363898,3741.99,0.265431,17.8391
"监测时间：Lan7_2002-4-01_2002-5-01_NDWI_30m",9.25063,0.838893,3742.38,0.653460,26.7586
"监测时间：Lan7_2002-6-01_2002-7-01_NDWI_30m",0.636275,0.353727,3741.97,0.243660,15.6092
"监测时间：Lan7_2002-10-01_2002-11-01_NDWI_30m",0.789685,0.363898,3741.99,0.265431,17.8391
"监测时间：Lan7_2003-1-01_2003-2-01_NDWI_30m",7.91570,0.601943,3742.34,0.614156,73.5861
"监测时间：Lan7_2003-2-01_2003-3-01_NDWI_30m",7.30756,0.593827,3742.31,0.591583,71.3562
"监测时间：Lan7_2003-4-01_2003-5-01_NDWI_30m",9.25063,0.838893,3742.38,0.653460,26.7586
"监测时间：Lan7_2003-5-01_2003-6-01_NDWI_30m",5.39673,0.699089,3742.24,0.522165,24.5287
"监测时间：Lan7_2004-3-01_2004-4-01_NDWI_30m",0.376144,0.360796,3741.90,0.178755,8.91953
"监测时间：Lan7_2004-9-01_2004-10-01_NDWI_30m",0.636275,0.353727,3741.97,0.243660,15.6092
"监测时间：Lan7_2004-11-01_2004-12-01_NDWI_30m",0.551851,0.332096,3741.96,0.233954,37.9080
"监测时间：Lan7_2005-8-01_2005-9-01_NDWI_30m",22.3098,1.10592,3742.69,0.967909,31.2184
"监测时间：Lan7_2005-9-01_2005-10-01_NDWI_30m",17.2360,1.02757,3742.58,0.857006,28.9885
"监测时间：Lan7_2006-4-01_2006-5-01_NDWI_30m",13.0912,0.837413,3742.41,0.685587,55.7471
"监测时间：Lan7_2006-7-01_2006-8-01_NDWI_30m",22.3098,1.10592,3742.69,0.967909,31.2184
"监测时间：Lan7_2007-6-01_2007-7-01_NDWI_30m",17.2360,1.02757,3742.58,0.857006,28.9885
"监测时间：Lan7_2007-7-01_2007-8-01_NDWI_30m",17.2360,1.02757,3742.58,0.857006,28.9885
"监测时间：Lan7_2007-9-01_2007-10-01_NDWI_30m",0.507569,0.357524,3741.94,0.213464,35.6781
"监测时间：Lan7_2007-10-01_2007-11-01_NDWI_30m",0.425006,0.250799,3741.95,0.227655,40.1379
"监测时间：Lan7_2008-7-01_2008-8-01_NDWI_30m",5.39673,0.699089,3742.24,0.522165,24.5287
"监测时间：Lan7_2009-3-01_2009-4-01_NDWI_30m",0.425006,0.250799,3741.95,0.227655,40.1379
"监测时间：Lan7_2009-7-01_2009-8-01_NDWI_30m",22.3098,1.10592,3742.69,0.967909,31.2184
"监测时间：Lan7_2009-9-01_2009-10-01_NDWI_30m",0.492779,0.257526,3741.96,0.239709,42.3678
"监测时间：Lan7_2010-10-01_2010-11-01_NDWI_30m",22.3098,1.10592,3742.69,0.967909,31.2184
"监测时间：Lan7_2010-12-01_2011-1-01_NDWI_30m",98.1653,1.22972,3743.30,1.57612,109.264
"监测时间：Lan7_2011-11-01_2011-12-01_NDWI_30m",16.1459,0.821933,3742.62,0.894086,49.0574
"监测时间：Lan7_2012-6-01_2012-7-01_NDWI_30m",0.492779,0.257526,3741.96,0.239709,42.3678
"监测时间：Lan7_2012-7-01_2012-8-01_NDWI_30m",12.6344,0.912528,3742.48,0.752932,44.5976
"监测时间：Lan7_2012-9-01_2012-10-01_NDWI_30m",0.507569,0.357524,3741.94,0.213464,35.6781
"监测时间：Lan7_2013-5-01_2013-6-01_NDWI_30m",16.1459,0.821933,3742.62,0.894086,49.0574
"监测时间：Lan7_2013-7-01_2013-8-01_NDWI_30m",9.25063,0.838893,3742.38,0.653460,26.7586
"监测时间：Lan7_2013-10-01_2013-11-01_NDWI_30m",0.425006,0.250799,3741.95,0.227655,40.1379
"监测时间：Lan7_2014-1-01_2014-2-01_NDWI_30m",17.2360,1.02757,3742.58,0.857006,28.9885
"监测时间：Lan7_2014-6-01_2014-7-01_NDWI_30m",9.25063,0.838893,3742.38,0.653460,26.7586
"监测时间：Lan7_2014-10-01_2014-11-01_NDWI_30m",5.39673,0.699089,3742.24,0.522165,24.5287
"监测时间：Lan7_2015-10-01_2015-11-01_NDWI_30m",17.2360,1.02757,3742.58,0.857006,28.9885
"监测时间：Lan7_2016-5-01_2016-6-01_NDWI_30m",22.3098,1.10592,3742.69,0.967909,31.2184
"监测时间：Lan7_2017-9-01_2017-10-01_NDWI_30m",0.492779,0.257526,3741.96,0.239709,42.3678
"监测时间：Lan7_2017-11-01_2017-12-01_NDWI_30m",13.0912,0.837413,3742.41,0.685587,55.7471
"监测时间：Lan7_2018-2-01_2018-3-01_NDWI_30m",23.3349,0.840011,3742.66,0.934406,80.2758
"监测时间：Lan7_2018-8-01_2018-9-01_NDWI_30m",0.937255,0.319044,3742.01,0.284560,46.8275
"监测时间：Lan7_2018-10-01_2018-11-01_NDWI_30m",0.492779,0.257526,3741.96,0.239709,42.3678
"监测时间：Lan7_2018-12-01_2019-1-01_NDWI_30m",7.30756,0.593827,3742.31,0.591583,71.3562
"监测时间：Lan7_2019-9-01_2019-10-01_NDWI_30m",12.6344,0.912528,3742.48,0.752932,44.5976
"监测时间：Lan7_2020-5-01_2020-6-01_NDWI_30m",12.6344,0.912528,3742.48,0.752932,44.5976
